# ΔT = 2˚/min
# T/˚C [±0.1]   I/pA [±0.5]
-41.3           18
-39.3           15
-37.0           12
-34.8           11
-32.6           10
-30.6           9
-28.7           9
-26.9           9
-25.1           8
-23.3           8
-21.3           8
-19.4           7
-17.5           7
-15.6           7
-13.7           6    
-11.9           7    
-10.1           7    
-08.1           7    
-06.2           7    
-04.3           7    
-02.3           8    
-00.2           9    
 02.0           10   
 04.2           11   
 06.3           11   
 08.3           12   
 09.3           13   
 10.3           13   
 11.3           13   
 12.2           14   
 13.2           14   
 14.2           14     
 15.2           14     
 16.3           14     
 17.3           14     
 18.4           15     
 19.5           15     
 20.6           15     
 21.6           15     
 22.7           15     
 23.7           15     
 24.7           14     
 25.8           14     
 26.8           14     
 27.8           14     
 28.8           14     
 29.8           14     
 30.8           14     
 31.7           14     
 32.6           14     
 33.6           14     
 34.6           15     
 35.5           15     
 36.5           15     
 37.6           15     
 38.6           16     
 39.5           16     
 40.5           17     
 41.5           17     
 42.5           18     
 43.4           18     
 44.3           19     
 45.3           20     
 46.3           21     
 47.3           21     
 48.4           22     
 49.5           24     
 50.5           25     
