# ΔT = 4˚/min
# T/˚C  I/pA
-64.0   07.0
-59.5   06.5
-56.2   06.0
-52.5   06.0
-48.4   06.0
-44.4   05.5
-40.4   05.5
-36.5   05.0
-32.6   05.5
-28.6   05.0
-24.4   05.0
-20.2   05.5
-15.9   07.5
-11.8   13.0
-10.9   15.0
-09.9   17.5
-09.2   18.5
-08.6   19.5
-08.0   20.5
-07.4   21.5
-06.8   22.0
-06.2   22.0
-05.5   22.0
-05.0   21.5
-04.3   21.5
-03.8   21.0
-03.2   20.0
-02.6   19.5
-02.1   19.0
-01.5   18.5
-00.9   18.0
-00.3   17.0
 00.2   17.0
 00.8   16.0
 01.8   15.0
 02.4   14.5
 03.0   14.5
 03.6   14.0
 04.3   14.0
 05.0   14.0
 05.8   14.0
 06.5   13.5
 11.3   14.0
 13.2   14.5
 14.4   15.0
 16.0   15.0
 17.4   15.0
 18.8   15.5
 20.1   15.0
 21.4   15.0
 22.8   15.0
 23.7   15.0
 25.0   14.5
 26.2   14.5
 27.4   14.0
 28.7   14.0
 30.0   14.0
 31.2   13.5
 32.5   13.5
 34.0   13.5
 35.5   13.5
 38.0   13.5
 40.4   14.0
 42.8   14.0
 44.9   14.5
 46.6   15.0
 48.2   15.0
 49.7   15.5
 51.1   16.5
