    400	23.90	0.100	    30	8.400	0.100	     10	0.340	0.0005	      5	2.290	0.050
    800	12.90	0.100	    60	8.400	0.100	     20	0.340	0.0005	     10	2.290	0.050
   1600	 6.30	0.100	   120	8.400	0.100	     40	0.338	0.0005	     20	2.290	0.050
   3200	 3.40	0.100	   240	8.300	0.100	     80	0.338	0.0005	     40	2.290	0.050
   6400	 1.63	0.010	   480	7.800	0.100	    160	0.334	0.0010	     80	2.310	0.050
  12800	 0.80	0.010	   960	6.600	0.100	    320	0.334	0.0010	    160	2.310	0.050
  25600	 0.42	0.010	  2000	4.300	0.100	    640	0.334	0.0010	    320	2.310	0.050
  51200	 0.20	0.010	  4000	2.500	0.100	   1000	0.332	0.0010	    640	2.230	0.050
 102000	 0.11	0.010	  8000	1.370	0.010	   2000	0.332	0.0010	   1000	2.170	0.050
 204000	 0.06	0.010	 16000	0.623	0.010	   4000	0.328	0.0010	   2000	2.010	0.050
 408000	 0.03	0.010	 32000	0.318	0.010	   8000	0.292	0.0010	   4000	1.610	0.050
 800000	 0.02	0.010	 64000	0.160	0.010	  16000	0.292	0.0010	   8000	1.000	0.010
1600000	 0.01	0.005	128000	0.086	0.005	  32000	0.225	0.0010	  16000	0.539	0.010
       	     	     	256000	0.043	0.005	  64000	0.140	0.0010	  32000	0.285	0.010
       	     	     	500000	0.025	0.005	 128000	0.077	0.0010	  64000	0.150	0.010
       	     	     	1000000	0.015	0.005	 256000	0.043	0.0010	 128000	0.088	0.005
       	     	     	2000000	0.010	0.005	 512000	0.025	0.0010	 256000	0.050	0.005
       	     	     	       	     	     	1000000	0.015	0.0010	 512000	0.024	0.005
       	     	     	       	     	     	2000000	0.010	0.0010	1000000	0.012	0.005
