# x/mm      I/mA
31.0        0.031
30.8        0.034
30.6        0.035
30.4        0.037
30.2        0.038
30.0        0.040
29.8        0.050
29.6        0.047
29.4        0.060
29.2        0.070
29.0        0.070
28.8        0.072
28.6        0.085
28.4        0.090
28.2        0.108
28.0        0.110
27.8        0.113
27.6        0.140
27.4        0.150
27.2        0.133
27.0        0.156
26.8        0.170
26.6        0.180
26.4        0.170
26.2        0.183
26.0        0.195
25.8        0.200
25.6        0.199
25.4        0.210
25.2        0.220
25.0        0.250
24.8        0.260
24.6        0.270
24.4        0.285
24.2        0.300
24.0        0.300
23.8        0.310
23.6        0.300
23.4        0.260
23.2        0.250
23.0        0.280
22.8        0.260
22.6        0.240
22.4        0.250
22.2        0.235
22.0        0.260
21.8        0.260
21.6        0.240
21.4        0.200
21.2        0.180
21.0        0.170
20.8        0.160
20.6        0.140
20.4        0.130
20.2        0.110
20.0        0.090
19.8        0.095
19.6        0.100
19.4        0.080
19.2        0.080
19.0        0.060
18.8        0.060
18.6        0.034
18.4        0.031
18.2        0.032
18.0        0.020
17.8        0.014
17.6        0.009
17.4        0.009
17.2        0.010
17.0        0.013
16.8        0.015
16.6        0.023
16.4        0.035
16.2        0.039
16.0        0.050
15.8        0.060
15.6        0.080
15.4        0.090
15.2        0.110
15.0        0.130
14.8        0.130
14.6        0.160
14.4        0.150
14.2        0.170
14.0        0.200
13.8        0.210
13.6        0.250
13.4        0.260
13.2        0.280
13.0        0.250
12.8        0.300
12.6        0.350
12.4        0.370
12.2        0.390
12.0        0.300
11.8        0.330
11.6        0.320
11.4        0.320
11.2        0.300
11.0        0.293
10.8        0.340
10.6        0.300
10.4        0.310
10.2        0.320
10.0        0.260
 9.8        0.250
 9.6        0.240
 9.4        0.240
 9.2        0.230
 9.0        0.220
 8.8        0.210
 8.6        0.200
 8.4        0.200
 8.2        0.190
 8.0        0.190
 7.8        0.200
 7.6        0.140
 7.4        0.140
 7.2        0.130
 7.0        0.130
 6.8        0.100
 6.6        0.093
 6.4        0.090
 6.2        0.080
 6.0        0.075
 5.8        0.070
 5.6        0.075
 5.4        0.080
 5.2        0.070
 5.0        0.060
 4.8        0.055
 4.6        0.050
 4.4        0.050
 4.2        0.045
 4.0        0.035
 3.8        0.030
 3.6        0.033
 3.4        0.026
 3.2        0.021
 3.0        0.023
 2.8        0.024
 2.6        0.019
 2.4        0.018
 2.2        0.015
 2.0        0.012
 1.8        0.013
 1.6        0.008
 1.4        0.007
 1.2        0.005
 1.0        0.004
 0.8        0.004
 0.6        0.003
 0.4        0.003
 0.2        0.002
 0.0        0.001
